SNP	SNP_Chr	SNP_Start	Number_genes	List_genes
rs1145786_G	chr6	91621876	7	A_23_P427014, A_24_P912048, A_23_P424900, A_23_P60599, A_23_P312646, A_23_P353125, A_23_P27528
rs1073525_A	chr10	46024620	4	A_32_P140030, A_23_P218358, A_23_P2006, A_23_P86710
kgp2263580_T	chr12	122591751	4	A_24_P166397, A_24_P218688, A_23_P127840, A_24_P310009
kgp4823739_A	chr12	122606176	4	A_24_P166397, A_24_P218688, A_23_P127840, A_24_P310009
kgp8017900_C	chr3	68466154	2	A_23_P385067, A_32_P204205
rs3826607_T	chr18	33766760	2	A_24_P10444, A_23_P169437
rs17009077_G	chr3	71941154	2	A_24_P349196, A_23_P571
kgp2031814_G	chr8	116650468	2	A_23_P138480, A_23_P103905
rs10875366_A	chr1	101757864	1	A_23_P348524
rs587985_C	chr11	119244095	1	A_24_P68631
kgp5872307_T	chr3	21870470	1	A_23_P146830
kgp5237943_C	chr2	133349643	1	A_24_P218688
rs992617_G	chr8	17996495	1	A_23_P39116
kgp7135561_G	chr11	10392568	1	A_23_P34568
rs4832868_A	chr4	37069574	1	A_23_P138480
kgp7015129_A	chr3	188415807	1	A_23_P386254
