ID	Chrom	Start	Stop
MI0000071_MIMAT0000071_92002910	chr13	92002910	92002930
MI0000072_MIMAT0000072_92003010	chr13	92003010	92003030
MI0000072_MIMAT0002891_92003051	chr13	92003051	92003071
MI0000073_MIMAT0000073_92003192	chr13	92003192	92003212
MI0000073_MIMAT0000073_92003193	chr13	92003193	92003213
MI0000074_MIMAT0000074_92003499	chr13	92003499	92003519
MI0000076_MIMAT0000075_92003326	chr13	92003326	92003346
MI0000076_MIMAT0004493_92003362	chr13	92003362	92003382
MI0000077_MIMAT0000076_57918633	chr17	57918633	57918653
MI0000077_MIMAT0000076_57918634	chr17	57918634	57918654
MI0000077_MIMAT0000076_57918635	chr17	57918635	57918655
MI0000077_MIMAT0000076_57918636	chr17	57918636	57918656
MI0000077_MIMAT0000076_57918637	chr17	57918637	57918657
MI0000077_MIMAT0000076_57918638	chr17	57918638	57918658
MI0000077_MIMAT0000076_57918639	chr17	57918639	57918659
MI0000077_MIMAT0004494_57918671	chr17	57918671	57918691
MI0000077_MIMAT0004494_57918672	chr17	57918672	57918692
MI0000077_MIMAT0004494_57918673	chr17	57918673	57918693
MI0000077_MIMAT0004494_57918674	chr17	57918674	57918694
MI0000078_MIMAT0004495_1617267	chr17	1617267	1617287
MI0000078_MIMAT0000077_1617225	chr17	1617225	1617245
MI0000078_MIMAT0000077_1617228	chr17	1617228	1617248
MI0000078_MIMAT0000077_1617229	chr17	1617229	1617249
MI0000078_MIMAT0000077_1617230	chr17	1617230	1617250
MI0000079_MIMAT0004496_13947465	chr19	13947465	13947485
MI0000079_MIMAT0000078_13947426	chr19	13947426	13947446
MI0000079_MIMAT0000078_13947428	chr19	13947428	13947448
MI0000079_MIMAT0000078_13947429	chr19	13947429	13947449
MI0000079_MIMAT0000078_13947430	chr19	13947430	13947450
MI0000080_MIMAT0000079_97848307	chr9	97848307	97848327
MI0000080_MIMAT0000079_97848308	chr9	97848308	97848328
MI0000080_MIMAT0000079_97848309	chr9	97848309	97848329
MI0000080_MIMAT0000080_97848344	chr9	97848344	97848364
MI0000080_MIMAT0000080_97848345	chr9	97848345	97848365
MI0000080_MIMAT0000080_97848346	chr9	97848346	97848366
MI0000080_MIMAT0000080_97848347	chr9	97848347	97848367
MI0000080_MIMAT0000080_97848348	chr9	97848348	97848368
MI0000080_MIMAT0000080_97848349	chr9	97848349	97848369
MI0000081_MIMAT0004497_13947161	chr19	13947161	13947181
MI0000081_MIMAT0004497_13947162	chr19	13947162	13947182
MI0000081_MIMAT0004497_13947163	chr19	13947163	13947183
MI0000082_MIMAT0004498_99691253	chr7	99691253	99691273
MI0000082_MIMAT0000081_99691214	chr7	99691214	99691234
MI0000082_MIMAT0000081_99691215	chr7	99691215	99691235
MI0000083_MIMAT0000082_38010901	chr3	38010901	38010921
MI0000083_MIMAT0000082_38010902	chr3	38010902	38010922
MI0000083_MIMAT0000082_38010903	chr3	38010903	38010923
MI0000083_MIMAT0000082_38010904	chr3	38010904	38010924
MI0000083_MIMAT0000082_38010905	chr3	38010905	38010925
MI0000083_MIMAT0000082_38010906	chr3	38010906	38010926
MI0000083_MIMAT0000082_38010907	chr3	38010907	38010927
MI0000083_MIMAT0000082_38010908	chr3	38010908	38010928
MI0000083_MIMAT0000082_38010910	chr3	38010910	38010930
MI0000084_MIMAT0000083_219267379	chr2	219267379	219267399
MI0000084_MIMAT0000083_219267380	chr2	219267380	219267400
MI0000084_MIMAT0000083_219267381	chr2	219267381	219267401
MI0000084_MIMAT0000083_219267382	chr2	219267382	219267402
MI0000084_MIMAT0000083_219267383	chr2	219267383	219267403
MI0000084_MIMAT0004500_219267415	chr2	219267415	219267435
MI0000085_MIMAT0004501_13947322	chr19	13947322	13947342
MI0000085_MIMAT0000084_13947275	chr19	13947275	13947295
MI0000085_MIMAT0000084_13947278	chr19	13947278	13947298
MI0000085_MIMAT0000084_13947279	chr19	13947279	13947299
MI0000085_MIMAT0000084_13947280	chr19	13947280	13947300
MI0000085_MIMAT0000084_13947281	chr19	13947281	13947301
MI0000085_MIMAT0000084_13947282	chr19	13947282	13947302
MI0000086_MIMAT0000085_188406581	chr3	188406581	188406601
MI0000086_MIMAT0000085_188406582	chr3	188406582	188406602
MI0000086_MIMAT0004502_188406621	chr3	188406621	188406641
MI0000086_MIMAT0004502_188406622	chr3	188406622	188406642
MI0000086_MIMAT0004502_188406623	chr3	188406623	188406643
MI0000086_MIMAT0004502_188406624	chr3	188406624	188406644
MI0000087_MIMAT0004503_130561566	chr7	130561566	130561586
MI0000087_MIMAT0000086_130561521	chr7	130561521	130561541
MI0000087_MIMAT0000086_130561522	chr7	130561522	130561542
MI0000087_MIMAT0000086_130561523	chr7	130561523	130561543
MI0000087_MIMAT0000086_130561526	chr7	130561526	130561546
MI0000087_MIMAT0000086_130561527	chr7	130561527	130561547
MI0000087_MIMAT0000086_130561528	chr7	130561528	130561548
MI0000087_MIMAT0000086_130561529	chr7	130561529	130561549
MI0000088_MIMAT0000087_72113314	chr6	72113314	72113334
MI0000088_MIMAT0000087_72113317	chr6	72113317	72113337
MI0000088_MIMAT0000087_72113318	chr6	72113318	72113338
MI0000088_MIMAT0000087_72113319	chr6	72113319	72113339
MI0000088_MIMAT0000087_72113320	chr6	72113320	72113340
MI0000088_MIMAT0000088_72113273	chr6	72113273	72113293
MI0000088_MIMAT0000088_72113276	chr6	72113276	72113296
MI0000088_MIMAT0000088_72113277	chr6	72113277	72113297
MI0000088_MIMAT0000088_72113278	chr6	72113278	72113298
MI0000089_MIMAT0000089_21512177	chr9	21512177	21512197
MI0000090_MIMAT0000090_111808573	chr9	111808573	111808593
MI0000090_MIMAT0000090_111808574	chr9	111808574	111808594
MI0000090_MIMAT0004505_111808532	chr9	111808532	111808552
MI0000091_MIMAT0000091_42296953	chr22	42296953	42296973
MI0000091_MIMAT0004506_42296993	chr22	42296993	42297013
MI0000093_MIMAT0004507_92003578	chr13	92003578	92003598
MI0000093_MIMAT0000092_92003614	chr13	92003614	92003634
MI0000093_MIMAT0000092_92003615	chr13	92003615	92003635
MI0000093_MIMAT0000092_92003616	chr13	92003616	92003636
MI0000093_MIMAT0000092_92003617	chr13	92003617	92003637
MI0000095_MIMAT0000093_99691459	chr7	99691459	99691479
MI0000095_MIMAT0000093_99691460	chr7	99691460	99691480
MI0000095_MIMAT0004509_99691421	chr7	99691421	99691441
MI0000097_MIMAT0000094_8007060	chr4	8007060	8007080
MI0000098_MIMAT0000095_129414601	chr7	129414601	129414621
MI0000100_MIMAT0000096_53583280	chrX	53583280	53583300
MI0000100_MIMAT0000096_53583281	chrX	53583281	53583301
MI0000100_MIMAT0000096_53583282	chrX	53583282	53583302
MI0000101_MIMAT0000097_17911420	chr21	17911420	17911440
MI0000101_MIMAT0000097_17911421	chr21	17911421	17911441
MI0000101_MIMAT0000097_17911422	chr21	17911422	17911442
MI0000101_MIMAT0000097_17911424	chr21	17911424	17911444
MI0000101_MIMAT0000097_17911425	chr21	17911425	17911445
MI0000101_MIMAT0000097_17911426	chr21	17911426	17911446
MI0000101_MIMAT0004511_17911458	chr21	17911458	17911478
MI0000102_MIMAT0000098_122022999	chr11	122022999	122023019
MI0000102_MIMAT0000098_122023000	chr11	122023000	122023020
MI0000102_MIMAT0000098_122023001	chr11	122023001	122023021
MI0000102_MIMAT0000098_122023003	chr11	122023003	122023023
MI0000102_MIMAT0000098_122023004	chr11	122023004	122023024
MI0000102_MIMAT0000098_122023005	chr11	122023005	122023025
MI0000102_MIMAT0004512_122022969	chr11	122022969	122022989
MI0000103_MIMAT0004513_65524181	chr1	65524181	65524201
MI0000103_MIMAT0004513_65524182	chr1	65524182	65524202
MI0000103_MIMAT0000099_65524142	chr1	65524142	65524162
MI0000103_MIMAT0000099_65524143	chr1	65524143	65524163
MI0000103_MIMAT0000099_65524144	chr1	65524144	65524164
MI0000103_MIMAT0000099_65524145	chr1	65524145	65524165
MI0000103_MIMAT0000099_65524146	chr1	65524146	65524166
MI0000103_MIMAT0000099_65524147	chr1	65524147	65524167
MI0000105_MIMAT0004514_130562289	chr7	130562289	130562309
MI0000105_MIMAT0000100_130562242	chr7	130562242	130562262
MI0000105_MIMAT0000100_130562243	chr7	130562243	130562263
MI0000105_MIMAT0000100_130562248	chr7	130562248	130562268
MI0000105_MIMAT0000100_130562249	chr7	130562249	130562269
MI0000107_MIMAT0004515_207975858	chr1	207975858	207975878
MI0000108_MIMAT0009196_3898151	chr20	3898151	3898171
MI0000108_MIMAT0000101_3898187	chr20	3898187	3898207
MI0000108_MIMAT0000101_3898188	chr20	3898188	3898208
MI0000108_MIMAT0000101_3898189	chr20	3898189	3898209
MI0000108_MIMAT0000101_3898190	chr20	3898190	3898210
MI0000113_MIMAT0000103_133304295	chrX	133304295	133304315
MI0000113_MIMAT0000103_133304296	chrX	133304296	133304316
MI0000114_MIMAT0000104_91352533	chr10	91352533	91352553
MI0000114_MIMAT0000104_91352535	chr10	91352535	91352555
MI0000115_MIMAT0004518_160122583	chr3	160122583	160122603
MI0000115_MIMAT0004518_160122584	chr3	160122584	160122604
MI0000115_MIMAT0004518_160122585	chr3	160122585	160122605
MI0000234_MIMAT0000222_64658694	chr11	64658694	64658714
MI0000234_MIMAT0000222_64658695	chr11	64658695	64658715
MI0000234_MIMAT0000222_64658696	chr11	64658696	64658716
MI0000238_MIMAT0000226_46709915	chr17	46709915	46709935
MI0000239_MIMAT0000227_110141561	chr1	110141561	110141581
MI0000239_MIMAT0000227_110141562	chr1	110141562	110141582
MI0000239_MIMAT0000227_110141563	chr1	110141563	110141583
MI0000242_MIMAT0000231_10928164	chr19	10928164	10928184
MI0000242_MIMAT0000231_10928165	chr19	10928165	10928185
MI0000242_MIMAT0000231_10928166	chr19	10928166	10928186
MI0000242_MIMAT0000231_10928167	chr19	10928167	10928187
MI0000242_MIMAT0000232_10928124	chr19	10928124	10928144
MI0000242_MIMAT0000232_10928125	chr19	10928125	10928145
MI0000242_MIMAT0000232_10928126	chr19	10928126	10928146
MI0000242_MIMAT0000232_10928127	chr19	10928127	10928147
MI0000242_MIMAT0000232_10928128	chr19	10928128	10928148
MI0000252_MIMAT0000242_127847929	chr7	127847929	127847949
MI0000253_MIMAT0004549_25989601	chr7	25989601	25989621
MI0000253_MIMAT0004549_25989602	chr7	25989602	25989622
MI0000253_MIMAT0000243_25989556	chr7	25989556	25989576
MI0000253_MIMAT0000243_25989561	chr7	25989561	25989581
MI0000253_MIMAT0000243_25989562	chr7	25989562	25989582
MI0000253_MIMAT0000243_25989563	chr7	25989563	25989583
MI0000253_MIMAT0000243_25989564	chr7	25989564	25989584
MI0000254_MIMAT0000244_72086727	chr6	72086727	72086747
MI0000254_MIMAT0000244_72086728	chr6	72086728	72086748
MI0000254_MIMAT0000244_72086729	chr6	72086729	72086749
MI0000254_MIMAT0004550_72086687	chr6	72086687	72086707
MI0000254_MIMAT0004550_72086688	chr6	72086688	72086708
MI0000255_MIMAT0000245_135817181	chr8	135817181	135817201
MI0000255_MIMAT0000245_135817182	chr8	135817182	135817202
MI0000255_MIMAT0000245_135817183	chr8	135817183	135817203
MI0000255_MIMAT0000245_135817184	chr8	135817184	135817204
MI0000255_MIMAT0004551_135817141	chr8	135817141	135817161
MI0000255_MIMAT0004551_135817142	chr8	135817142	135817162
MI0000255_MIMAT0004551_135817143	chr8	135817143	135817163
MI0000261_MIMAT0000250_72326168	chr11	72326168	72326188
MI0000261_MIMAT0004552_72326132	chr11	72326132	72326152
MI0000263_MIMAT0000252_86584749	chr9	86584749	86584769
MI0000263_MIMAT0004553_86584706	chr9	86584706	86584726
MI0000263_MIMAT0004553_86584707	chr9	86584707	86584727
MI0000265_MIMAT0000252_4770712	chr19	4770712	4770732
MI0000266_MIMAT0000253_46657282	chr17	46657282	46657302
MI0000266_MIMAT0000253_46657283	chr17	46657283	46657303
MI0000266_MIMAT0000253_46657284	chr17	46657284	46657304
MI0000266_MIMAT0000253_46657285	chr17	46657285	46657305
MI0000266_MIMAT0000253_46657286	chr17	46657286	46657306
MI0000266_MIMAT0000253_46657287	chr17	46657287	46657307
MI0000266_MIMAT0000253_46657288	chr17	46657288	46657308
MI0000266_MIMAT0000253_46657289	chr17	46657289	46657309
MI0000266_MIMAT0000253_46657290	chr17	46657290	46657310
MI0000266_MIMAT0004555_46657246	chr17	46657246	46657266
MI0000266_MIMAT0004555_46657247	chr17	46657247	46657267
MI0000266_MIMAT0004555_46657248	chr17	46657248	46657268
MI0000267_MIMAT0000254_177015056	chr2	177015056	177015076
MI0000267_MIMAT0000254_177015057	chr2	177015057	177015077
MI0000267_MIMAT0000254_177015058	chr2	177015058	177015078
MI0000267_MIMAT0000254_177015060	chr2	177015060	177015080
MI0000267_MIMAT0000254_177015061	chr2	177015061	177015081
MI0000267_MIMAT0004556_177015096	chr2	177015096	177015116
MI0000267_MIMAT0004556_177015097	chr2	177015097	177015117
MI0000267_MIMAT0004556_177015098	chr2	177015098	177015118
MI0000268_MIMAT0000255_9211814	chr1	9211814	9211834
MI0000268_MIMAT0000255_9211815	chr1	9211815	9211835
MI0000268_MIMAT0000255_9211816	chr1	9211816	9211836
MI0000268_MIMAT0000255_9211817	chr1	9211817	9211837
MI0000268_MIMAT0004557_9211772	chr1	9211772	9211792
MI0000268_MIMAT0004557_9211773	chr1	9211773	9211793
MI0000269_MIMAT0000256_127454758	chr9	127454758	127454778
MI0000269_MIMAT0000256_127454759	chr9	127454759	127454779
MI0000269_MIMAT0000256_127454760	chr9	127454760	127454780
MI0000269_MIMAT0000256_127454761	chr9	127454761	127454781
MI0000269_MIMAT0000256_127454762	chr9	127454762	127454782
MI0000269_MIMAT0000256_127454767	chr9	127454767	127454787
MI0000269_MIMAT0004558_127454796	chr9	127454796	127454816
MI0000269_MIMAT0004558_127454797	chr9	127454797	127454817
MI0000270_MIMAT0000257_198828075	chr1	198828075	198828095
MI0000270_MIMAT0000257_198828076	chr1	198828076	198828096
MI0000270_MIMAT0000257_198828077	chr1	198828077	198828097
MI0000271_MIMAT0000258_13985538	chr19	13985538	13985558
MI0000271_MIMAT0000258_13985539	chr19	13985539	13985559
MI0000271_MIMAT0000258_13985540	chr19	13985540	13985560
MI0000271_MIMAT0000258_13985542	chr19	13985542	13985562
MI0000271_MIMAT0004559_13985577	chr19	13985577	13985597
MI0000271_MIMAT0004559_13985578	chr19	13985578	13985598
MI0000272_MIMAT0000259_129410303	chr7	129410303	129410323
MI0000272_MIMAT0000259_129410305	chr7	129410305	129410325
MI0000272_MIMAT0000259_129410308	chr7	129410308	129410328
MI0000272_MIMAT0000259_129410309	chr7	129410309	129410329
MI0000272_MIMAT0000259_129410310	chr7	129410310	129410330
MI0000272_MIMAT0000259_129410311	chr7	129410311	129410331
MI0000273_MIMAT0000261_129414821	chr7	129414821	129414841
MI0000273_MIMAT0000261_129414823	chr7	129414823	129414843
MI0000273_MIMAT0000261_129414827	chr7	129414827	129414847
MI0000273_MIMAT0000261_129414828	chr7	129414828	129414848
MI0000273_MIMAT0004560_129414788	chr7	129414788	129414808
MI0000274_MIMAT0000262_33484819	chr18	33484819	33484839
MI0000281_MIMAT0000231_172113751	chr1	172113751	172113771
MI0000281_MIMAT0000231_172113752	chr1	172113752	172113772
MI0000281_MIMAT0000231_172113753	chr1	172113753	172113773
MI0000281_MIMAT0000231_172113754	chr1	172113754	172113774
MI0000281_MIMAT0000232_172113713	chr1	172113713	172113733
MI0000281_MIMAT0000232_172113714	chr1	172113714	172113734
MI0000281_MIMAT0000232_172113715	chr1	172113715	172113735
MI0000281_MIMAT0000232_172113716	chr1	172113716	172113736
MI0000281_MIMAT0000232_172113717	chr1	172113717	172113737
MI0000282_MIMAT0000263_131007081	chr9	131007081	131007101
MI0000282_MIMAT0000263_131007082	chr9	131007082	131007102
MI0000282_MIMAT0000263_131007083	chr9	131007083	131007103
MI0000282_MIMAT0000263_131007084	chr9	131007084	131007104
MI0000282_MIMAT0004563_131007043	chr9	131007043	131007063
MI0000282_MIMAT0004563_131007044	chr9	131007044	131007064
MI0000282_MIMAT0004563_131007045	chr9	131007045	131007065
MI0000282_MIMAT0004563_131007046	chr9	131007046	131007066
MI0000282_MIMAT0004563_131007047	chr9	131007047	131007067
MI0000283_MIMAT0000264_104583804	chr14	104583804	104583824
MI0000283_MIMAT0000264_104583805	chr14	104583805	104583825
MI0000283_MIMAT0000264_104583806	chr14	104583806	104583826
MI0000283_MIMAT0000264_104583807	chr14	104583807	104583827
MI0000284_MIMAT0000265_73424968	chr9	73424968	73424988
MI0000285_MIMAT0000266_209605511	chr1	209605511	209605531
MI0000286_MIMAT0000267_568133	chr11	568133	568153
MI0000286_MIMAT0000267_568134	chr11	568134	568154
MI0000287_MIMAT0000268_31357319	chr15	31357319	31357339
MI0000288_MIMAT0000269_1953604	chr17	1953604	1953624
MI0000289_MIMAT0000270_198828219	chr1	198828219	198828239
MI0000289_MIMAT0000270_198828220	chr1	198828220	198828240
MI0000289_MIMAT0000270_198828221	chr1	198828221	198828241
MI0000290_MIMAT0004564_172108017	chr1	172108017	172108037
MI0000290_MIMAT0004564_172108018	chr1	172108018	172108038
MI0000290_MIMAT0000271_172107977	chr1	172107977	172107997
MI0000290_MIMAT0000271_172107978	chr1	172107978	172107998
MI0000290_MIMAT0000271_172107979	chr1	172107979	172107999
MI0000291_MIMAT0000272_220291277	chr1	220291277	220291297
MI0000291_MIMAT0000272_220291278	chr1	220291278	220291298
MI0000292_MIMAT0000273_56216176	chr2	56216176	56216196
MI0000294_MIMAT0000275_20529922	chr4	20529922	20529942
MI0000294_MIMAT0000275_20529923	chr4	20529923	20529943
MI0000294_MIMAT0004565_20529960	chr4	20529960	20529980
MI0000294_MIMAT0004565_20529961	chr4	20529961	20529981
MI0000294_MIMAT0004565_20529962	chr4	20529962	20529982
MI0000294_MIMAT0004565_20529964	chr4	20529964	20529984
MI0000296_MIMAT0000276_33175632	chr6	33175632	33175652
MI0000298_MIMAT0004568_45605664	chrX	45605664	45605684
MI0000298_MIMAT0004568_45605670	chrX	45605670	45605690
MI0000298_MIMAT0004568_45605671	chrX	45605671	45605691
MI0000298_MIMAT0000278_45605629	chrX	45605629	45605649
MI0000298_MIMAT0000278_45605630	chrX	45605630	45605650
MI0000298_MIMAT0000278_45605631	chrX	45605631	45605651
MI0000299_MIMAT0004569_45606500	chrX	45606500	45606520
MI0000299_MIMAT0000279_45606460	chrX	45606460	45606480
MI0000299_MIMAT0000279_45606461	chrX	45606461	45606481
MI0000299_MIMAT0000279_45606462	chrX	45606462	45606482
MI0000299_MIMAT0000279_45606463	chrX	45606463	45606483
MI0000300_MIMAT0004570_65238737	chrX	65238737	65238757
MI0000300_MIMAT0004570_65238743	chrX	65238743	65238763
MI0000300_MIMAT0000280_65238778	chrX	65238778	65238798
MI0000300_MIMAT0000280_65238779	chrX	65238779	65238799
MI0000300_MIMAT0000280_65238780	chrX	65238780	65238800
MI0000301_MIMAT0000281_151127123	chrX	151127123	151127143
MI0000301_MIMAT0009198_151127077	chrX	151127077	151127097
MI0000342_MIMAT0004571_1102504	chr1	1102504	1102524
MI0000342_MIMAT0000318_1102540	chr1	1102540	1102560
MI0000342_MIMAT0000318_1102541	chr1	1102541	1102561
MI0000342_MIMAT0000318_1102542	chr1	1102542	1102562
MI0000433_MIMAT0000414_52302372	chr3	52302372	52302392
MI0000433_MIMAT0000414_52302373	chr3	52302373	52302393
MI0000433_MIMAT0000414_52302374	chr3	52302374	52302394
MI0000433_MIMAT0000414_52302375	chr3	52302375	52302395
MI0000433_MIMAT0004584_52302316	chr3	52302316	52302336
MI0000434_MIMAT0000415_62997470	chr12	62997470	62997490
MI0000434_MIMAT0000415_62997471	chr12	62997471	62997491
MI0000434_MIMAT0000415_62997472	chr12	62997472	62997492
MI0000434_MIMAT0004585_62997527	chr12	62997527	62997547
MI0000437_MIMAT0000416_19408997	chr18	19408997	19409017
MI0000438_MIMAT0000417_160122395	chr3	160122395	160122415
MI0000438_MIMAT0004586_160122433	chr3	160122433	160122453
MI0000439_MIMAT0004587_97847509	chr9	97847509	97847529
MI0000439_MIMAT0000418_97847546	chr9	97847546	97847566
MI0000439_MIMAT0000418_97847547	chr9	97847547	97847567
MI0000439_MIMAT0000418_97847548	chr9	97847548	97847568
MI0000439_MIMAT0000418_97847549	chr9	97847549	97847569
MI0000439_MIMAT0000418_97847550	chr9	97847550	97847570
MI0000440_MIMAT0004588_97847744	chr9	97847744	97847764
MI0000440_MIMAT0004588_97847745	chr9	97847745	97847765
MI0000440_MIMAT0000419_97847786	chr9	97847786	97847806
MI0000440_MIMAT0000419_97847787	chr9	97847787	97847807
MI0000440_MIMAT0000419_97847788	chr9	97847788	97847808
MI0000440_MIMAT0000419_97847789	chr9	97847789	97847809
MI0000440_MIMAT0000419_97847790	chr9	97847790	97847810
MI0000440_MIMAT0000419_97847791	chr9	97847791	97847811
MI0000440_MIMAT0000419_97847792	chr9	97847792	97847812
MI0000440_MIMAT0000419_97847793	chr9	97847793	97847813
MI0000441_MIMAT0000420_135812833	chr8	135812833	135812853
MI0000441_MIMAT0000420_135812834	chr8	135812834	135812854
MI0000441_MIMAT0000420_135812835	chr8	135812835	135812855
MI0000441_MIMAT0004589_135812796	chr8	135812796	135812816
MI0000446_MIMAT0000423_121970534	chr11	121970534	121970554
MI0000446_MIMAT0000423_121970536	chr11	121970536	121970556
MI0000446_MIMAT0000423_121970537	chr11	121970537	121970557
MI0000446_MIMAT0000423_121970538	chr11	121970538	121970558
MI0000446_MIMAT0004592_121970498	chr11	121970498	121970518
MI0000446_MIMAT0004592_121970499	chr11	121970499	121970519
MI0000447_MIMAT0000424_136423016	chr2	136423016	136423036
MI0000448_MIMAT0004593_57408685	chr11	57408685	57408705
MI0000448_MIMAT0000425_57408724	chr11	57408724	57408744
MI0000448_MIMAT0000425_57408725	chr11	57408725	57408745
MI0000448_MIMAT0000425_57408726	chr11	57408726	57408746
MI0000449_MIMAT0004594_1953280	chr17	1953280	1953300
MI0000449_MIMAT0004594_1953281	chr17	1953281	1953301
MI0000449_MIMAT0000426_1953242	chr17	1953242	1953262
MI0000449_MIMAT0000426_1953243	chr17	1953243	1953263
MI0000449_MIMAT0000426_1953244	chr17	1953244	1953264
MI0000450_MIMAT0000427_19405692	chr18	19405692	19405712
MI0000450_MIMAT0000427_19405693	chr18	19405693	19405713
MI0000450_MIMAT0000427_19405694	chr18	19405694	19405714
MI0000451_MIMAT0000427_61162177	chr20	61162177	61162197
MI0000451_MIMAT0000427_61162178	chr20	61162178	61162198
MI0000451_MIMAT0000427_61162179	chr20	61162179	61162199
MI0000452_MIMAT0000428_52328308	chr3	52328308	52328328
MI0000455_MIMAT0000430_56892439	chr16	56892439	56892459
MI0000456_MIMAT0000431_69967006	chr16	69967006	69967026
MI0000456_MIMAT0004597_69967045	chr16	69967045	69967065
MI0000456_MIMAT0004597_69967046	chr16	69967046	69967066
MI0000456_MIMAT0004597_69967047	chr16	69967047	69967067
MI0000456_MIMAT0004597_69967048	chr16	69967048	69967068
MI0000456_MIMAT0004597_69967049	chr16	69967049	69967069
MI0000457_MIMAT0004598_7073276	chr12	7073276	7073296
MI0000457_MIMAT0000432_7073317	chr12	7073317	7073337
MI0000457_MIMAT0000432_7073318	chr12	7073318	7073338
MI0000457_MIMAT0000432_7073319	chr12	7073319	7073339
MI0000457_MIMAT0000432_7073320	chr12	7073320	7073340
MI0000457_MIMAT0000432_7073323	chr12	7073323	7073343
MI0000458_MIMAT0000433_56408662	chr17	56408662	56408682
MI0000458_MIMAT0000433_56408663	chr17	56408663	56408683
MI0000458_MIMAT0000433_56408664	chr17	56408664	56408684
MI0000458_MIMAT0000433_56408665	chr17	56408665	56408685
MI0000458_MIMAT0000433_56408666	chr17	56408666	56408686
MI0000458_MIMAT0000433_56408667	chr17	56408667	56408687
MI0000458_MIMAT0000434_56408625	chr17	56408625	56408645
MI0000458_MIMAT0000434_56408626	chr17	56408626	56408646
MI0000458_MIMAT0000434_56408627	chr17	56408627	56408647
MI0000458_MIMAT0000434_56408628	chr17	56408628	56408648
MI0000459_MIMAT0004599_148808507	chr5	148808507	148808527
